"HOUSEHOLD DATA
 ANNUAL AVERAGES
 19. Persons at work in agriculture and nonagricultural industries by hours of work",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Hours of work,2015,,,,,
,Persons at work,,,Percent distribution,,
,"All
industries","Agriculture
and related
industries","Nonagricultural
industries","All
industries","Agriculture
and related
industries","Nonagricultural
industries"
,,,,,,
"Total, persons at work","143,767","2,331","141,436",100.0,100.0,100.0
1 to 34 hours,"36,158",582,"35,576",25.2,25.0,25.2
1 to 4 hours,"1,424",51,"1,373",1.0,2.2,1.0
5 to 14 hours,"5,219",126,"5,094",3.6,5.4,3.6
15 to 29 hours,"17,271",255,"17,016",12.0,10.9,12.0
30 to 34 hours,"12,244",151,"12,093",8.5,6.5,8.6
35 hours and over,"107,609","1,749","105,860",74.8,75.0,74.8
35 to 39 hours,"9,604",115,"9,489",6.7,4.9,6.7
40 hours,"61,999",681,"61,318",43.1,29.2,43.4
41 hours and over,"36,007",954,"35,053",25.0,40.9,24.8
41 to 48 hours,"12,461",184,"12,277",8.7,7.9,8.7
49 to 59 hours,"14,101",297,"13,804",9.8,12.7,9.8
60 hours and over,"9,444",473,"8,972",6.6,20.3,6.3
,,,,,,
"Average hours, total at work",38.6,42.6,38.5,–,–,–
"Average hours, persons who usually work full time",42.4,47.8,42.3,–,–,–
,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 35,000).",,,,,,
